Playback2.acq
Graph Created on: 2024-02-26 21:48:18.248
Recording on: 2024-02-26 21:49:05.654
2.48756 msec/sample
5 channels
Count
number
ECG
µV
PPG
µV
EDA
µS
Temperature
C
sec,CH1,CH2,CH3,CH4,CH5,
,8022 samples,8022 samples,8022 samples,8022 samples,8022 samples,
11.2761,86,4167,1784,1.53002,29.5461,
11.2786,86,4167,1779.93,1.53002,29.5461,
11.2811,86,4167,1779.17,1.53002,29.5461,
11.2836,86,4167,1774.08,1.53002,29.5461,
11.2861,86,4167,1778.92,1.53002,29.5461,
11.2886,86,4167,1779.93,1.53002,29.5461,
11.291,86,4167,1774.85,1.53002,29.5461,
11.2935,86,4167,1777.65,1.53002,29.5461,
11.296,86,4167,1773.07,1.53002,29.5461,
11.2985,86,4167,1778.66,1.53002,29.5461,
11.301,86,4167,1773.07,1.53002,29.5461,
11.3035,86,4167,1774.08,1.53002,29.5461,
11.306,86,4167,1773.32,1.53002,29.5461,
11.3085,86,4167,1771.03,1.53002,29.5461,
11.3109,86,4167,1763.91,1.53002,29.5461,
11.3134,86,4167,1761.37,1.53002,29.5461,
11.3159,86,4167,1761.88,1.53002,29.5461,
11.3184,86,4167,1759.59,1.53002,29.5461,
11.3209,87,4167,1756.53,1.52927,29.5409,
11.3234,87,4167,1756.79,1.52927,29.5409,
11.3259,87,4167,1754.5,1.52927,29.5409,
11.3284,87,4167,1756.79,1.52927,29.5409,
11.3308,87,4167,1755.52,1.52927,29.5409,
11.3333,87,4167,1756.28,1.52927,29.5409,
